,model,region,scenario,unit,variable,Year,Emissions
52,IMAGE,World,ssp119,Mt BC / yr,Emissions|BC,2015,9.7274
53,IMAGE,World,ssp119,Mt CH4 / yr,Emissions|CH4,2015,388.073
54,IMAGE,World,ssp119,Mt CO / yr,Emissions|CO,2015,934.35
55,IMAGE,World,ssp119,Mt CO2 / yr,Emissions|CO2|MAGICC AFOLU,2015,3517.44
56,IMAGE,World,ssp119,Mt CO2 / yr,Emissions|CO2|MAGICC Fossil and Industrial,2015,35635.3
57,IMAGE,World,ssp119,Mt NH3 / yr,Emissions|NH3,2015,65.2797
58,IMAGE,World,ssp119,Mt NOx / yr,Emissions|NOx,2015,155.52
59,IMAGE,World,ssp119,Mt OC / yr,Emissions|OC,2015,34.746
60,IMAGE,World,ssp119,Mt SO2 / yr,Emissions|Sulfur,2015,100.771
61,IMAGE,World,ssp119,Mt VOC / yr,Emissions|VOC,2015,227.245
62,IMAGE,World,ssp119,kt C2F6 / yr,Emissions|C2F6,2015,1.57
63,IMAGE,World,ssp119,kt C3F8 / yr,Emissions|C3F8,2015,0.4478
64,IMAGE,World,ssp119,kt C4F10 / yr,Emissions|C4F10,2015,0.0994
65,IMAGE,World,ssp119,kt C5F12 / yr,Emissions|C5F12,2015,0.0435
66,IMAGE,World,ssp119,kt C6F14 / yr,Emissions|C6F14,2015,0.35
67,IMAGE,World,ssp119,kt C7F16 / yr,Emissions|C7F16,2015,0.2338
68,IMAGE,World,ssp119,kt C8F18 / yr,Emissions|C8F18,2015,0.1014
69,IMAGE,World,ssp119,kt CCl4 / yr,Emissions|CCl4,2015,47.5476
70,IMAGE,World,ssp119,kt CF4 / yr,Emissions|CF4,2015,10.8699
71,IMAGE,World,ssp119,kt CFC11 / yr,Emissions|CFC11,2015,43.5734
72,IMAGE,World,ssp119,kt CFC113 / yr,Emissions|CFC113,2015,0.8742
73,IMAGE,World,ssp119,kt CFC114 / yr,Emissions|CFC114,2015,1.6696
74,IMAGE,World,ssp119,kt CFC115 / yr,Emissions|CFC115,2015,1.6714
75,IMAGE,World,ssp119,kt CFC12 / yr,Emissions|CFC12,2015,14.6096
76,IMAGE,World,ssp119,kt CH2Cl2 / yr,Emissions|CH2Cl2,2015,1267.98
77,IMAGE,World,ssp119,kt CH3Br / yr,Emissions|CH3Br,2015,133.823
78,IMAGE,World,ssp119,kt CH3CCl3 / yr,Emissions|CH3CCl3,2015,0.0
79,IMAGE,World,ssp119,kt CH3Cl / yr,Emissions|CH3Cl,2015,5404.81
80,IMAGE,World,ssp119,kt CHCl3 / yr,Emissions|CHCl3,2015,459.646
81,IMAGE,World,ssp119,kt HCFC141b / yr,Emissions|HCFC141b,2015,59.82
82,IMAGE,World,ssp119,kt HCFC142b / yr,Emissions|HCFC142b,2015,22.47
83,IMAGE,World,ssp119,kt HCFC22 / yr,Emissions|HCFC22,2015,358.881
84,IMAGE,World,ssp119,kt HFC125 / yr,Emissions|HFC125,2015,78.7906
85,IMAGE,World,ssp119,kt HFC134a / yr,Emissions|HFC134a,2015,201.953
86,IMAGE,World,ssp119,kt HFC143a / yr,Emissions|HFC143a,2015,32.381
87,IMAGE,World,ssp119,kt HFC152a / yr,Emissions|HFC152a,2015,55.8814
88,IMAGE,World,ssp119,kt HFC227ea / yr,Emissions|HFC227ea,2015,3.6633
89,IMAGE,World,ssp119,kt HFC23 / yr,Emissions|HFC23,2015,14.4857
90,IMAGE,World,ssp119,kt HFC236fa / yr,Emissions|HFC236fa,2015,0.2604
91,IMAGE,World,ssp119,kt HFC245fa / yr,Emissions|HFC245fa,2015,11.7285
92,IMAGE,World,ssp119,kt HFC32 / yr,Emissions|HFC32,2015,38.5792
93,IMAGE,World,ssp119,kt HFC365mfc / yr,Emissions|HFC365mfc,2015,4.6492
94,IMAGE,World,ssp119,kt HFC4310mee / yr,Emissions|HFC4310mee,2015,1.1516
95,IMAGE,World,ssp119,kt Halon1202 / yr,Emissions|Halon1202,2015,0.0
96,IMAGE,World,ssp119,kt Halon1211 / yr,Emissions|Halon1211,2015,3.2933
97,IMAGE,World,ssp119,kt Halon1301 / yr,Emissions|Halon1301,2015,1.3378
98,IMAGE,World,ssp119,kt Halon2402 / yr,Emissions|Halon2402,2015,0.3481
99,IMAGE,World,ssp119,kt N2O / yr,Emissions|N2O,2015,10900.0
100,IMAGE,World,ssp119,kt NF3 / yr,Emissions|NF3,2015,1.3581
101,IMAGE,World,ssp119,kt SF6 / yr,Emissions|SF6,2015,8.02
102,IMAGE,World,ssp119,kt SO2F2 / yr,Emissions|SO2F2,2015,2.5317
103,IMAGE,World,ssp119,kt cC4F8 / yr,Emissions|cC4F8,2015,1.2672
156,IMAGE,World,ssp119,Mt BC / yr,Emissions|BC,2020,7.8244
157,IMAGE,World,ssp119,Mt CH4 / yr,Emissions|CH4,2020,358.908
158,IMAGE,World,ssp119,Mt CO / yr,Emissions|CO,2020,794.368
159,IMAGE,World,ssp119,Mt CO2 / yr,Emissions|CO2|MAGICC AFOLU,2020,3175.6
160,IMAGE,World,ssp119,Mt CO2 / yr,Emissions|CO2|MAGICC Fossil and Industrial,2020,36518.1
161,IMAGE,World,ssp119,Mt NH3 / yr,Emissions|NH3,2020,65.1383
162,IMAGE,World,ssp119,Mt NOx / yr,Emissions|NOx,2020,145.447
163,IMAGE,World,ssp119,Mt OC / yr,Emissions|OC,2020,29.1462
164,IMAGE,World,ssp119,Mt SO2 / yr,Emissions|Sulfur,2020,79.5492
165,IMAGE,World,ssp119,Mt VOC / yr,Emissions|VOC,2020,190.598
166,IMAGE,World,ssp119,kt C2F6 / yr,Emissions|C2F6,2020,1.9523
