,model,region,scenario,unit,variable,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
35,REMIND-MAGPIE,World,ssp585,kt HFC152a / yr,Emissions|HFC152a,55.8814,62.7936,55.1187,46.6095,48.4031,52.181,57.103,58.0027,54.1236,49.6307
36,REMIND-MAGPIE,World,ssp585,kt HFC227ea / yr,Emissions|HFC227ea,3.6633,5.6131,7.9808,8.4836,9.8399,10.7504,11.6069,11.4664,10.3377,9.1498
37,REMIND-MAGPIE,World,ssp585,kt HFC23 / yr,Emissions|HFC23,14.4857,2.665,0.8297,0.5312,0.3014,0.1868,0.1112,0.0583,0.0272,0.0
38,REMIND-MAGPIE,World,ssp585,kt HFC236fa / yr,Emissions|HFC236fa,0.2604,0.4747,0.8813,1.1627,1.5409,2.0077,2.5363,2.8325,2.8207,2.7089
39,REMIND-MAGPIE,World,ssp585,kt HFC245fa / yr,Emissions|HFC245fa,11.7285,21.3796,39.6919,52.3667,69.4033,90.4257,114.238,127.578,127.046,122.01
40,REMIND-MAGPIE,World,ssp585,kt HFC32 / yr,Emissions|HFC32,38.5792,7.0976,2.2097,1.4147,0.8027,0.4975,0.2962,0.1553,0.0724,0.0
41,REMIND-MAGPIE,World,ssp585,kt HFC365mfc / yr,Emissions|HFC365mfc,4.6492,6.0842,7.2099,7.3864,8.7045,10.3687,12.4308,13.7269,13.7997,13.4382
42,REMIND-MAGPIE,World,ssp585,kt HFC4310mee / yr,Emissions|HFC4310mee,1.1516,1.294,1.1359,0.9605,0.9975,1.0753,1.1768,1.1953,1.1154,1.0228
43,REMIND-MAGPIE,World,ssp585,kt Halon1202 / yr,Emissions|Halon1202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,REMIND-MAGPIE,World,ssp585,kt Halon1211 / yr,Emissions|Halon1211,3.2933,2.1847,0.9614,0.4231,0.1862,0.0819,0.0361,0.0159,0.007,0.008
45,REMIND-MAGPIE,World,ssp585,kt Halon1301 / yr,Emissions|Halon1301,1.3378,1.1071,0.7583,0.5193,0.3557,0.2436,0.1668,0.1143,0.0783,0.0536
46,REMIND-MAGPIE,World,ssp585,kt Halon2402 / yr,Emissions|Halon2402,0.3481,0.279,0.1793,0.1153,0.0741,0.0476,0.0306,0.0197,0.0126,0.0081
