,model,region,scenario,unit,variable,Year,Emissions
114,REMIND-MAGPIE,World,ssp585,kt C2F6 / yr,Emissions|C2F6,2020,2.0176
115,REMIND-MAGPIE,World,ssp585,kt C3F8 / yr,Emissions|C3F8,2020,0.5755
116,REMIND-MAGPIE,World,ssp585,kt C4F10 / yr,Emissions|C4F10,2020,0.1278
117,REMIND-MAGPIE,World,ssp585,kt C5F12 / yr,Emissions|C5F12,2020,0.0559
118,REMIND-MAGPIE,World,ssp585,kt C6F14 / yr,Emissions|C6F14,2020,0.4498
119,REMIND-MAGPIE,World,ssp585,kt C7F16 / yr,Emissions|C7F16,2020,0.3005
120,REMIND-MAGPIE,World,ssp585,kt C8F18 / yr,Emissions|C8F18,2020,0.1303
121,REMIND-MAGPIE,World,ssp585,kt CCl4 / yr,Emissions|CCl4,2020,34.8954
122,REMIND-MAGPIE,World,ssp585,kt CF4 / yr,Emissions|CF4,2020,12.7461
123,REMIND-MAGPIE,World,ssp585,kt CFC11 / yr,Emissions|CFC11,2020,35.1105
124,REMIND-MAGPIE,World,ssp585,kt CFC113 / yr,Emissions|CFC113,2020,0.411
125,REMIND-MAGPIE,World,ssp585,kt CFC114 / yr,Emissions|CFC114,2020,0.8978
126,REMIND-MAGPIE,World,ssp585,kt CFC115 / yr,Emissions|CFC115,2020,1.3855
127,REMIND-MAGPIE,World,ssp585,kt CFC12 / yr,Emissions|CFC12,2020,6.0003
128,REMIND-MAGPIE,World,ssp585,kt CH2Cl2 / yr,Emissions|CH2Cl2,2020,1583.21
129,REMIND-MAGPIE,World,ssp585,kt CH3Br / yr,Emissions|CH3Br,2020,142.015
130,REMIND-MAGPIE,World,ssp585,kt CH3CCl3 / yr,Emissions|CH3CCl3,2020,0.0
131,REMIND-MAGPIE,World,ssp585,kt CH3Cl / yr,Emissions|CH3Cl,2020,5599.69
132,REMIND-MAGPIE,World,ssp585,kt CHCl3 / yr,Emissions|CHCl3,2020,513.056
133,REMIND-MAGPIE,World,ssp585,kt HCFC141b / yr,Emissions|HCFC141b,2020,64.9344
134,REMIND-MAGPIE,World,ssp585,kt HCFC142b / yr,Emissions|HCFC142b,2020,20.0708
135,REMIND-MAGPIE,World,ssp585,kt HCFC22 / yr,Emissions|HCFC22,2020,322.601
136,REMIND-MAGPIE,World,ssp585,kt HFC125 / yr,Emissions|HFC125,2020,174.747
137,REMIND-MAGPIE,World,ssp585,kt HFC134a / yr,Emissions|HFC134a,2020,264.285
138,REMIND-MAGPIE,World,ssp585,kt HFC143a / yr,Emissions|HFC143a,2020,63.6446
139,REMIND-MAGPIE,World,ssp585,kt HFC152a / yr,Emissions|HFC152a,2020,62.7936
140,REMIND-MAGPIE,World,ssp585,kt HFC227ea / yr,Emissions|HFC227ea,2020,5.6131
141,REMIND-MAGPIE,World,ssp585,kt HFC23 / yr,Emissions|HFC23,2020,2.665
142,REMIND-MAGPIE,World,ssp585,kt HFC236fa / yr,Emissions|HFC236fa,2020,0.4747
143,REMIND-MAGPIE,World,ssp585,kt HFC245fa / yr,Emissions|HFC245fa,2020,21.3796
144,REMIND-MAGPIE,World,ssp585,kt HFC32 / yr,Emissions|HFC32,2020,7.0976
145,REMIND-MAGPIE,World,ssp585,kt HFC365mfc / yr,Emissions|HFC365mfc,2020,6.0842
146,REMIND-MAGPIE,World,ssp585,kt HFC4310mee / yr,Emissions|HFC4310mee,2020,1.294
147,REMIND-MAGPIE,World,ssp585,kt Halon1202 / yr,Emissions|Halon1202,2020,0.0
